#date+time,022-pwl,022-bwl,022-harmwl
01-01-2001 0000,1.523,1.835,1.412
01-01-2001 0006,1.535,NA,1.418
01-01-2001 0012,1.547,NA,1.424
01-01-2001 0018,1.547,NA,1.430
01-01-2001 0024,1.558,NA,1.436
01-01-2001 0030,1.568,1.879,1.443
01-01-2001 0036,1.559,NA,1.449
01-01-2001 0042,1.571,NA,1.455
01-01-2001 0048,1.588,NA,1.461
01-01-2001 0054,1.588,NA,1.467
01-01-2001 0100,1.591,1.903,1.472
01-01-2001 0106,1.601,NA,1.478
01-01-2001 0112,1.615,NA,1.484
01-01-2001 0118,1.618,NA,1.489
01-01-2001 0124,1.609,NA,1.495
01-01-2001 0130,1.610,1.921,1.500
01-01-2001 0136,1.620,NA,1.505
01-01-2001 0142,1.622,NA,1.511
01-01-2001 0148,1.629,NA,1.515
01-01-2001 0154,1.611,NA,1.520
01-01-2001 0200,1.613,1.924,1.525
01-01-2001 0206,1.634,NA,1.529
01-01-2001 0212,1.650,NA,1.534
01-01-2001 0218,1.647,NA,1.538
01-01-2001 0224,1.642,NA,1.542
01-01-2001 0230,1.639,1.952,1.546
01-01-2001 0236,1.651,NA,1.549
01-01-2001 0242,1.648,NA,1.552
01-01-2001 0248,1.638,NA,1.556
01-01-2001 0254,1.640,NA,1.558
01-01-2001 0300,1.637,1.949,1.561
01-01-2001 0306,1.648,NA,1.564
01-01-2001 0312,1.666,NA,1.566
01-01-2001 0318,1.670,NA,1.568
01-01-2001 0324,1.663,NA,1.569
01-01-2001 0330,1.644,1.958,1.571
01-01-2001 0336,1.662,NA,1.572
01-01-2001 0342,1.663,NA,1.573
01-01-2001 0348,1.662,NA,1.573
01-01-2001 0354,1.645,NA,1.574
01-01-2001 0400,1.654,1.972,1.574
01-01-2001 0406,1.670,NA,1.574
01-01-2001 0412,1.670,NA,1.574
01-01-2001 0418,1.659,NA,1.573
01-01-2001 0424,1.651,NA,1.573
01-01-2001 0430,1.634,1.952,1.572
01-01-2001 0436,1.649,NA,1.571
01-01-2001 0442,1.651,NA,1.570
01-01-2001 0448,1.650,NA,1.568
01-01-2001 0454,1.644,NA,1.567
01-01-2001 0500,1.645,1.964,1.565
01-01-2001 0506,1.636,NA,1.564
01-01-2001 0512,1.628,NA,1.562
01-01-2001 0518,1.638,NA,1.560
01-01-2001 0524,1.630,NA,1.558
01-01-2001 0530,1.635,1.954,1.556
01-01-2001 0536,1.649,NA,1.554
01-01-2001 0542,1.640,NA,1.552
01-01-2001 0548,1.625,NA,1.550
01-01-2001 0554,1.611,NA,1.548
01-01-2001 0600,1.619,1.938,1.545
01-01-2001 0606,1.633,NA,1.543
01-01-2001 0612,1.621,NA,1.541
01-01-2001 0618,1.595,NA,1.539
