#date+time,022-pwl,022-bwl,022-harmwl,date,valid,rolling_sum
09-15-2001 0454,1.744,1.964,1.492,2001-09-15 04:54:00,True,150.0
09-15-2001 0500,1.749,1.971,1.502,2001-09-15 05:00:00,True,150.0
09-15-2001 0506,1.762,1.985,1.513,2001-09-15 05:06:00,True,150.0
09-15-2001 0512,1.774,1.996,1.524,2001-09-15 05:12:00,True,150.0
09-15-2001 0518,1.777,1.999,1.535,2001-09-15 05:18:00,True,150.0
09-15-2001 0524,1.787,2.009,1.545,2001-09-15 05:24:00,True,150.0
09-15-2001 0530,1.797,2.019,1.556,2001-09-15 05:30:00,True,150.0
09-15-2001 0536,1.8,2.022,1.567,2001-09-15 05:36:00,True,150.0
09-15-2001 0542,1.806,2.028,1.578,2001-09-15 05:42:00,True,150.0
09-15-2001 0548,1.819,2.041,1.589,2001-09-15 05:48:00,True,150.0
09-15-2001 0554,1.827,2.050,1.599,2001-09-15 05:54:00,True,150.0
09-15-2001 0600,1.836,2.058,1.61,2001-09-15 06:00:00,True,150.0
09-15-2001 0606,1.843,2.065,1.62,2001-09-15 06:06:00,True,150.0
09-15-2001 0612,1.856,2.079,1.631,2001-09-15 06:12:00,True,150.0
09-15-2001 0618,1.865,2.087,1.641,2001-09-15 06:18:00,True,150.0
09-15-2001 0624,1.871,2.094,1.651,2001-09-15 06:24:00,True,150.0
09-15-2001 0630,1.877,2.100,1.661,2001-09-15 06:30:00,True,150.0
09-15-2001 0636,1.884,2.106,1.671,2001-09-15 06:36:00,True,150.0
09-15-2001 0642,1.891,2.113,1.681,2001-09-15 06:42:00,True,150.0
09-15-2001 0648,1.9,2.123,1.69,2001-09-15 06:48:00,True,150.0
09-15-2001 0654,1.91,2.133,1.699,2001-09-15 06:54:00,True,150.0
09-15-2001 0700,1.914,2.137,1.708,2001-09-15 07:00:00,True,150.0
09-15-2001 0706,1.927,2.150,1.716,2001-09-15 07:06:00,True,150.0
09-15-2001 0712,1.939,2.163,1.725,2001-09-15 07:12:00,True,150.0
09-15-2001 0718,1.942,2.165,1.733,2001-09-15 07:18:00,True,150.0
09-15-2001 0724,1.944,2.167,1.74,2001-09-15 07:24:00,True,150.0
09-15-2001 0730,1.95,2.175,1.748,2001-09-15 07:30:00,True,150.0
09-15-2001 0736,1.956,2.180,1.755,2001-09-15 07:36:00,True,150.0
09-15-2001 0742,1.959,2.183,1.761,2001-09-15 07:42:00,True,150.0
09-15-2001 0748,1.967,2.190,1.768,2001-09-15 07:48:00,True,150.0
