Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2019-01-01 00:00,6.854,0.064,0,0,0,0,v
2019-01-01 00:06,6.854,0.054,0,0,0,0,v
2019-01-01 00:12,6.890,0.071,0,0,0,0,v
2019-01-01 00:18,6.870,0.060,0,0,0,0,v
2019-01-01 00:24,6.857,0.068,0,0,0,0,v
2019-01-01 00:30,6.828,0.054,0,0,0,0,v
2019-01-01 00:36,6.834,0.058,0,0,0,0,v
2019-01-01 00:42,6.863,0.045,0,0,0,0,v
2019-01-01 00:48,6.819,0.058,0,0,0,0,v
2019-01-01 00:54,6.866,0.071,0,0,0,0,v
2019-01-01 01:00,6.848,0.057,0,0,0,0,v
2019-01-01 01:06,6.797,0.067,0,0,0,0,v
2019-01-01 01:12,6.804,0.069,0,0,0,0,v
2019-01-01 01:18,6.770,0.053,0,0,0,0,v
2019-01-01 01:24,6.812,0.059,0,0,0,0,v
2019-01-01 01:30,6.799,0.061,0,0,0,0,v
2019-01-01 01:36,6.803,0.058,0,0,0,0,v
2019-01-01 01:42,6.804,0.061,0,0,0,0,v
2019-01-01 01:48,6.813,0.066,0,0,0,0,v
2019-01-01 01:54,6.793,0.070,0,0,0,0,v
2019-01-01 02:00,6.794,0.065,0,0,0,0,v
2019-01-01 02:06,6.791,0.057,0,0,0,0,v
2019-01-01 02:12,6.766,0.067,0,0,0,0,v
2019-01-01 02:18,6.746,0.061,0,0,0,0,v
2019-01-01 02:24,6.813,0.053,0,0,0,0,v
2019-01-01 02:30,6.787,0.068,0,0,0,0,v
2019-01-01 02:36,6.815,0.071,0,0,0,0,v
2019-01-01 02:42,6.800,0.056,0,0,0,0,v
2019-01-01 02:48,6.813,0.067,0,0,0,0,v
2019-01-01 02:54,6.820,0.072,0,0,0,0,v
2019-01-01 03:00,6.790,0.075,0,0,0,0,v
2019-01-01 03:06,6.808,0.058,0,0,0,0,v
2019-01-01 03:12,6.839,0.050,0,0,0,0,v
2019-01-01 03:18,6.823,0.064,0,0,0,0,v
2019-01-01 03:24,6.800,0.061,0,0,0,0,v
2019-01-01 03:30,6.748,0.073,0,0,0,0,v
2019-01-01 03:36,6.791,0.073,0,0,0,0,v
2019-01-01 03:42,6.888,0.085,0,0,0,0,v
2019-01-01 03:48,6.852,0.072,0,0,0,0,v
2019-01-01 03:54,6.832,0.059,0,0,0,0,v
2019-01-01 04:00,6.835,0.061,0,0,0,0,v
2019-01-01 04:06,6.869,0.059,0,0,0,0,v
2019-01-01 04:12,6.875,0.064,0,0,0,0,v
2019-01-01 04:18,6.843,0.069,0,0,0,0,v
2019-01-01 04:24,6.817,0.069,0,0,0,0,v
2019-01-01 04:30,6.754,0.079,0,0,0,0,v
2019-01-01 04:36,6.784,0.081,0,0,0,0,v
2019-01-01 04:42,6.831,0.062,0,0,0,0,v
2019-01-01 04:48,6.798,0.082,0,0,0,0,v
2019-01-01 04:54,6.795,0.056,0,0,0,0,v
2019-01-01 05:00,6.809,0.073,0,0,0,0,v
2019-01-01 05:06,6.796,0.053,0,0,0,0,v
2019-01-01 05:12,6.749,0.070,0,0,0,0,v
2019-01-01 05:18,6.755,0.064,0,0,0,0,v
2019-01-01 05:24,6.697,0.068,0,0,0,0,v
2019-01-01 05:30,6.684,0.077,0,0,0,0,v
2019-01-01 05:36,6.730,0.080,0,0,0,0,v
2019-01-01 05:42,6.726,0.046,0,0,0,0,v
2019-01-01 05:48,6.703,0.066,0,0,0,0,v
2019-01-01 05:54,6.704,0.077,0,0,0,0,v
2019-01-01 06:00,6.655,0.071,0,0,0,0,v
2019-01-01 06:06,6.654,0.072,0,0,0,0,v
