dt,wl
2020-01-01 00:00:00,8.269
2020-01-01 00:06:00,8.269
2020-01-01 00:12:00,8.27
2020-01-01 00:18:00,8.266
2020-01-01 00:24:00,8.263
2020-01-01 00:30:00,8.267
2020-01-01 00:36:00,8.274
2020-01-01 00:42:00,8.271
2020-01-01 00:48:00,8.271
2020-01-01 00:54:00,8.276
2020-01-01 01:00:00,8.276
2020-01-01 01:06:00,8.282
2020-01-01 01:12:00,8.281
2020-01-01 01:18:00,8.283
2020-01-01 01:24:00,8.279
2020-01-01 01:30:00,8.28
2020-01-01 01:36:00,8.284
2020-01-01 01:42:00,8.286
2020-01-01 01:48:00,8.287
2020-01-01 01:54:00,8.288
2020-01-01 02:00:00,8.288
2020-01-01 02:06:00,8.29
2020-01-01 02:12:00,8.289
2020-01-01 02:18:00,8.291
2020-01-01 02:24:00,8.291
2020-01-01 02:30:00,8.293
2020-01-01 02:36:00,8.293
2020-01-01 02:42:00,8.291
2020-01-01 02:48:00,8.289
2020-01-01 02:54:00,8.289
2020-01-01 03:00:00,8.294
2020-01-01 03:06:00,8.296
2020-01-01 03:12:00,8.296
2020-01-01 03:18:00,8.294
2020-01-01 03:24:00,8.293
2020-01-01 03:30:00,8.292
2020-01-01 03:36:00,8.292
2020-01-01 03:42:00,8.297
2020-01-01 03:48:00,8.299
2020-01-01 03:54:00,8.301
2020-01-01 04:00:00,8.3
2020-01-01 04:06:00,8.3
2020-01-01 04:12:00,8.302
2020-01-01 04:18:00,8.305
2020-01-01 04:24:00,8.305
2020-01-01 04:30:00,8.305
2020-01-01 04:36:00,8.303
2020-01-01 04:42:00,8.303
2020-01-01 04:48:00,8.306
2020-01-01 04:54:00,8.308
2020-01-01 05:00:00,8.305
2020-01-01 05:06:00,8.302
2020-01-01 05:12:00,8.308
2020-01-01 05:18:00,8.308
2020-01-01 05:24:00,8.305
2020-01-01 05:30:00,8.308
2020-01-01 05:36:00,8.308
2020-01-01 05:42:00,8.31
2020-01-01 05:48:00,8.313
2020-01-01 05:54:00,8.312
2020-01-01 06:00:00,8.308
2020-01-01 06:06:00,8.307
2020-01-01 06:12:00,8.309
2020-01-01 06:18:00,8.31
2020-01-01 06:24:00,8.312
2020-01-01 06:30:00,8.315
2020-01-01 06:36:00,
2020-01-01 06:42:00,
2020-01-01 06:48:00,
2020-01-01 06:54:00,
2020-01-01 07:00:00,
2020-01-01 07:06:00,
2020-01-01 07:12:00,
2020-01-01 07:18:00,
2020-01-01 07:24:00,
2020-01-01 07:30:00,
2020-01-01 07:36:00,
2020-01-01 07:42:00,
2020-01-01 07:48:00,
2020-01-01 07:54:00,
2020-01-01 08:00:00,
2020-01-01 08:06:00,
2020-01-01 08:12:00,
2020-01-01 08:18:00,
2020-01-01 08:24:00,
2020-01-01 08:30:00,
2020-01-01 08:36:00,
2020-01-01 08:42:00,
2020-01-01 08:48:00,
2020-01-01 08:54:00,
2020-01-01 09:00:00,
2020-01-01 09:06:00,
2020-01-01 09:12:00,
2020-01-01 09:18:00,
2020-01-01 09:24:00,
2020-01-01 09:30:00,
2020-01-01 09:36:00,
2020-01-01 09:42:00,
2020-01-01 09:48:00,
2020-01-01 09:54:00,
2020-01-01 10:00:00,
2020-01-01 10:06:00,
2020-01-01 10:12:00,
2020-01-01 10:18:00,
2020-01-01 10:24:00,
2020-01-01 10:30:00,
2020-01-01 10:36:00,
2020-01-01 10:42:00,
2020-01-01 10:48:00,
2020-01-01 10:54:00,
2020-01-01 11:00:00,
2020-01-01 11:06:00,
2020-01-01 11:12:00,
2020-01-01 11:18:00,
2020-01-01 11:24:00,
2020-01-01 11:30:00,
2020-01-01 11:36:00,
2020-01-01 11:42:00,
2020-01-01 11:48:00,
2020-01-01 11:54:00,
2020-01-01 12:00:00,
2020-01-01 12:06:00,
2020-01-01 12:12:00,
2020-01-01 12:18:00,
2020-01-01 12:24:00,
2020-01-01 12:30:00,
2020-01-01 12:36:00,
2020-01-01 12:42:00,
2020-01-01 12:48:00,
2020-01-01 12:54:00,
