#date+time,014-pwl,014-bwl,014-harmwl
"01-01-2012 0000",6.678,1.827,6.599
"01-01-2012 0006",6.670,1.803,6.601
"01-01-2012 0012",6.681,1.816,6.604
"01-01-2012 0018",6.678,1.813,6.606
"01-01-2012 0024",6.688,1.819,6.608
"01-01-2012 0030",6.685,1.824,6.610
"01-01-2012 0036",6.681,1.817,6.612
"01-01-2012 0042",6.698,1.834,6.613
"01-01-2012 0048",6.682,1.822,6.615
"01-01-2012 0054",6.676,1.817,6.616
"01-01-2012 0100",6.697,1.832,6.617
"01-01-2012 0106",6.707,1.835,6.618
"01-01-2012 0112",6.697,1.822,6.619
"01-01-2012 0118",6.709,1.835,6.619
"01-01-2012 0124",6.702,1.811,6.619
"01-01-2012 0130",6.703,1.829,6.619
"01-01-2012 0136",6.709,1.831,6.619
"01-01-2012 0142",6.701,1.835,6.618
"01-01-2012 0148",6.706,1.832,6.618
"01-01-2012 0154",6.706,1.834,6.617
"01-01-2012 0200",6.708,1.823,6.616
"01-01-2012 0206",6.720,1.844,6.614
"01-01-2012 0212",6.722,1.836,6.613
"01-01-2012 0218",6.717,1.838,6.611
"01-01-2012 0224",6.702,1.819,6.609
"01-01-2012 0230",6.692,1.818,6.607
"01-01-2012 0236",6.697,1.819,6.605
"01-01-2012 0242",6.687,1.818,6.602
"01-01-2012 0248",6.678,1.803,6.599
"01-01-2012 0254",6.671,1.800,6.597
"01-01-2012 0300",6.676,1.811,6.594
"01-01-2012 0306",6.675,1.806,6.590
"01-01-2012 0312",6.678,1.815,6.587
"01-01-2012 0318",6.690,1.827,6.584
"01-01-2012 0324",6.676,1.803,6.580
"01-01-2012 0330",6.683,1.817,6.576
"01-01-2012 0336",6.665,1.802,6.572
"01-01-2012 0342",6.674,1.802,6.568
"01-01-2012 0348",6.660,1.800,6.564
"01-01-2012 0354",6.657,1.795,6.560
"01-01-2012 0400",6.656,1.795,6.556
"01-01-2012 0406",6.657,1.786,6.551
"01-01-2012 0412",6.655,1.785,6.547
"01-01-2012 0418",6.664,1.813,6.542
"01-01-2012 0424",6.647,1.786,6.538
"01-01-2012 0430",6.647,1.785,6.533
"01-01-2012 0436",6.635,1.782,6.528
"01-01-2012 0442",6.631,1.779,6.524
"01-01-2012 0448",6.633,1.774,6.519
"01-01-2012 0454",6.629,1.774,6.514
"01-01-2012 0500",6.615,1.760,6.510
"01-01-2012 0506",6.610,1.767,6.505
"01-01-2012 0512",6.603,1.767,6.501
"01-01-2012 0518",6.598,1.760,6.496
"01-01-2012 0524",6.589,1.746,6.492
"01-01-2012 0530",6.590,1.735,6.487
"01-01-2012 0536",6.578,1.733,6.483
"01-01-2012 0542",6.573,1.731,6.479
"01-01-2012 0548",6.567,1.727,6.475
"01-01-2012 0554",6.556,1.722,6.470
"01-01-2012 0600",6.549,1.717,6.466
"01-01-2012 0606",6.555,1.724,6.462
"01-01-2012 0612",6.542,1.722,6.459
"01-01-2012 0618",6.539,1.710,6.455
"01-01-2012 0624",6.537,1.707,6.451
"01-01-2012 0630",6.532,1.710,6.447
"01-01-2012 0636",6.527,1.702,6.444
"01-01-2012 0642",6.521,1.695,6.440
"01-01-2012 0648",6.525,1.692,6.436
"01-01-2012 0654",6.521,1.702,6.433
"01-01-2012 0700",6.509,1.692,6.430
"01-01-2012 0706",6.504,1.681,6.426
"01-01-2012 0712",6.502,1.677,6.423
"01-01-2012 0718",6.507,1.694,6.420
"01-01-2012 0724",6.496,1.682,6.416
"01-01-2012 0730",6.490,1.684,6.413
"01-01-2012 0736",6.494,1.685,6.410
"01-01-2012 0742",6.491,1.663,6.407
"01-01-2012 0748",6.491,1.664,6.404
"01-01-2012 0754",6.497,1.657,6.402
"01-01-2012 0800",6.514,1.701,6.399
"01-01-2012 0806",6.505,1.679,6.396
"01-01-2012 0812",6.501,1.680,6.394
"01-01-2012 0818",6.506,1.664,6.392
"01-01-2012 0824",6.486,1.661,6.390
"01-01-2012 0830",6.480,1.649,6.388
"01-01-2012 0836",6.470,1.656,6.386
"01-01-2012 0842",6.464,1.649,6.384
"01-01-2012 0848",6.464,1.638,6.383
"01-01-2012 0854",6.473,1.668,6.381
"01-01-2012 0900",6.473,1.657,6.380
"01-01-2012 0906",6.470,1.658,6.379
"01-01-2012 0912",6.472,1.653,6.379
"01-01-2012 0918",6.462,1.652,6.378
"01-01-2012 0924",6.474,1.647,6.378
"01-01-2012 0930",6.487,1.657,6.378
"01-01-2012 0936",6.486,1.652,6.378
"01-01-2012 0942",6.464,1.636,6.378
"01-01-2012 0948",6.468,1.635,6.379
"01-01-2012 0954",6.478,1.653,6.379
"01-01-2012 1000",6.475,1.616,6.380
"01-01-2012 1006",6.469,1.645,6.381
"01-01-2012 1012",6.474,1.656,6.383
"01-01-2012 1018",6.471,1.637,6.384
"01-01-2012 1024",6.473,1.646,6.386
"01-01-2012 1030",6.475,1.645,6.388
"01-01-2012 1036",6.478,1.654,6.390
"01-01-2012 1042",6.471,1.648,6.392
"01-01-2012 1048",6.474,1.623,6.394
"01-01-2012 1054",6.490,1.634,6.397
"01-01-2012 1100",6.496,1.644,6.400
"01-01-2012 1106",6.484,1.654,6.403
"01-01-2012 1112",6.494,1.672,6.406
"01-01-2012 1118",6.483,1.658,6.409
"01-01-2012 1124",6.489,1.648,6.413
"01-01-2012 1130",6.485,1.668,6.416
"01-01-2012 1136",6.480,1.654,6.420
"01-01-2012 1142",6.485,1.648,6.424
"01-01-2012 1148",6.486,1.662,6.428
"01-01-2012 1154",6.488,1.656,6.432
"01-01-2012 1200",6.482,1.636,6.436
"01-01-2012 1206",6.488,1.646,6.440
"01-01-2012 1212",6.482,1.632,6.444
"01-01-2012 1218",6.481,1.653,6.448
"01-01-2012 1224",6.501,1.647,6.453
"01-01-2012 1230",6.491,1.655,6.457
"01-01-2012 1236",6.488,1.639,6.461
"01-01-2012 1242",6.483,1.651,6.466
"01-01-2012 1248",6.468,1.637,6.470
"01-01-2012 1254",6.496,1.661,6.474
"01-01-2012 1300",6.495,1.652,6.479
"01-01-2012 1306",6.493,1.648,6.483
"01-01-2012 1312",6.512,1.660,6.487
"01-01-2012 1318",6.514,1.672,6.491
"01-01-2012 1324",6.516,1.645,6.495
"01-01-2012 1330",6.535,1.676,6.498
"01-01-2012 1336",6.548,1.682,6.502
"01-01-2012 1342",6.526,1.679,6.506
"01-01-2012 1348",6.540,1.703,6.509
"01-01-2012 1354",6.549,1.702,6.513
"01-01-2012 1400",6.555,1.710,6.516
"01-01-2012 1406",6.542,1.697,6.519
"01-01-2012 1412",6.545,1.687,6.522
"01-01-2012 1418",6.531,1.703,6.525
"01-01-2012 1424",6.541,1.689,6.528
"01-01-2012 1430",6.520,1.677,6.530
"01-01-2012 1436",6.510,1.654,6.533
"01-01-2012 1442",6.520,1.693,6.535
"01-01-2012 1448",6.532,1.685,6.537
"01-01-2012 1454",6.537,1.687,6.540
"01-01-2012 1500",6.537,1.700,6.542
"01-01-2012 1506",6.526,1.676,6.544
"01-01-2012 1512",6.548,1.660,6.545
"01-01-2012 1518",6.560,1.703,6.547
"01-01-2012 1524",6.547,1.688,6.549
"01-01-2012 1530",6.552,1.691,6.550
"01-01-2012 1536",6.567,1.705,6.552
"01-01-2012 1542",6.556,1.685,6.553
"01-01-2012 1548",6.560,1.689,6.554
"01-01-2012 1554",6.575,1.659,6.555
"01-01-2012 1600",6.568,1.682,6.556
"01-01-2012 1606",6.582,1.686,6.557
"01-01-2012 1612",6.565,1.667,6.558
"01-01-2012 1618",6.587,1.703,6.559
"01-01-2012 1624",6.581,1.662,6.559
"01-01-2012 1630",6.585,1.682,6.560
"01-01-2012 1636",6.571,1.647,6.560
"01-01-2012 1642",6.576,1.689,6.561
"01-01-2012 1648",6.569,1.669,6.561
"01-01-2012 1654",6.568,1.693,6.562
"01-01-2012 1700",6.583,1.680,6.562
"01-01-2012 1706",6.584,1.683,6.562
"01-01-2012 1712",6.591,1.688,6.563
"01-01-2012 1718",6.584,1.698,6.563
"01-01-2012 1724",6.586,1.679,6.563
"01-01-2012 1730",6.571,1.675,6.564
"01-01-2012 1736",6.571,1.641,6.564
"01-01-2012 1742",6.567,1.651,6.565
"01-01-2012 1748",6.579,1.653,6.565
"01-01-2012 1754",6.593,1.666,6.565
"01-01-2012 1800",6.586,1.633,6.566
"01-01-2012 1806",6.602,1.687,6.566
"01-01-2012 1812",6.624,1.693,6.567
"01-01-2012 1818",6.604,1.678,6.567
"01-01-2012 1824",6.605,1.682,6.568
"01-01-2012 1830",6.601,1.700,6.568
"01-01-2012 1836",6.602,1.695,6.569
"01-01-2012 1842",6.586,1.678,6.569
"01-01-2012 1848",6.577,1.659,6.570
"01-01-2012 1854",6.587,1.670,6.570
"01-01-2012 1900",6.599,1.689,6.571
"01-01-2012 1906",6.625,1.661,6.571
"01-01-2012 1912",6.619,1.651,6.572
"01-01-2012 1918",6.631,1.698,6.572
"01-01-2012 1924",6.623,1.698,6.572
"01-01-2012 1930",6.631,1.694,6.573
"01-01-2012 1936",6.641,1.697,6.573
"01-01-2012 1942",6.633,1.715,6.573
"01-01-2012 1948",6.643,1.716,6.573
"01-01-2012 1954",6.642,1.685,6.573
"01-01-2012 2000",6.637,1.701,6.574
"01-01-2012 2006",6.607,1.681,6.574
"01-01-2012 2012",6.611,1.718,6.574
"01-01-2012 2018",6.603,1.622,6.574
"01-01-2012 2024",6.601,1.676,6.574
"01-01-2012 2030",6.625,1.725,6.574
"01-01-2012 2036",6.612,1.704,6.574
"01-01-2012 2042",6.607,1.696,6.574
"01-01-2012 2048",6.608,1.703,6.574
"01-01-2012 2054",6.605,1.707,6.574
"01-01-2012 2100",6.599,1.683,6.574
"01-01-2012 2106",6.609,1.694,6.574
"01-01-2012 2112",6.594,1.680,6.574
"01-01-2012 2118",6.581,1.651,6.574
"01-01-2012 2124",6.578,1.650,6.574
"01-01-2012 2130",6.590,1.672,6.575
"01-01-2012 2136",6.613,1.680,6.575
"01-01-2012 2142",6.602,1.708,6.576
"01-01-2012 2148",6.587,1.675,6.576
"01-01-2012 2154",6.584,1.662,6.577
"01-01-2012 2200",6.587,1.674,6.577
"01-01-2012 2206",6.591,1.670,6.578
"01-01-2012 2212",6.603,1.651,6.578
"01-01-2012 2218",6.627,1.700,6.579
"01-01-2012 2224",6.606,1.680,6.580
"01-01-2012 2230",6.601,1.727,6.581
"01-01-2012 2236",6.610,1.689,6.582
"01-01-2012 2242",6.600,1.691,6.583
"01-01-2012 2248",6.596,1.669,6.584
"01-01-2012 2254",6.595,1.683,6.585
"01-01-2012 2300",6.587,1.682,6.586
"01-01-2012 2306",6.585,1.696,6.587
"01-01-2012 2312",6.616,1.727,6.589
"01-01-2012 2318",6.618,1.689,6.590
"01-01-2012 2324",6.611,1.705,6.591
"01-01-2012 2330",6.589,1.708,6.592
"01-01-2012 2336",6.576,1.675,6.594
"01-01-2012 2342",6.609,1.703,6.595
"01-01-2012 2348",6.636,1.721,6.597
"01-01-2012 2354",6.658,1.748,6.598
"01-02-2012 0000",6.643,1.739,6.599
"01-02-2012 0006",6.615,1.727,6.601
"01-02-2012 0012",6.607,1.736,6.602
"01-02-2012 0018",6.579,1.703,6.603
"01-02-2012 0024",6.580,1.706,6.605
"01-02-2012 0030",6.600,1.706,6.606
"01-02-2012 0036",6.610,1.725,6.607
"01-02-2012 0042",6.625,1.729,6.608
"01-02-2012 0048",6.629,1.736,6.609
"01-02-2012 0054",6.602,1.715,6.610
"01-02-2012 0100",6.621,1.742,6.611
"01-02-2012 0106",6.593,1.715,6.611
"01-02-2012 0112",6.598,1.711,6.612
"01-02-2012 0118",6.577,1.720,6.612
"01-02-2012 0124",6.600,1.722,6.613
"01-02-2012 0130",6.596,1.717,6.613
"01-02-2012 0136",6.583,1.721,6.613
"01-02-2012 0142",6.592,1.710,6.612
"01-02-2012 0148",6.597,1.715,6.612
"01-02-2012 0154",6.603,1.718,6.611
"01-02-2012 0200",6.635,1.758,6.610
"01-02-2012 0206",6.618,1.728,6.609
"01-02-2012 0212",6.609,1.736,6.608
"01-02-2012 0218",6.594,1.708,6.607
"01-02-2012 0224",6.614,1.751,6.605
"01-02-2012 0230",6.618,1.737,6.603
"01-02-2012 0236",6.621,1.745,6.601
"01-02-2012 0242",6.637,1.741,6.599
"01-02-2012 0248",6.625,1.736,6.596
"01-02-2012 0254",6.620,1.711,6.594
"01-02-2012 0300",6.608,1.709,6.591
"01-02-2012 0306",6.584,1.694,6.588
"01-02-2012 0312",6.577,1.686,6.585
"01-02-2012 0318",6.570,1.675,6.582
"01-02-2012 0324",6.565,1.685,6.578
"01-02-2012 0330",6.551,1.688,6.575
"01-02-2012 0336",6.535,1.673,6.571
"01-02-2012 0342",6.524,1.654,6.567
"01-02-2012 0348",6.526,1.641,6.563
"01-02-2012 0354",6.520,1.630,6.559
"01-02-2012 0400",6.514,1.633,6.554
"01-02-2012 0406",6.507,1.641,6.550
"01-02-2012 0412",6.508,1.653,6.545
"01-02-2012 0418",6.515,1.635,6.541
"01-02-2012 0424",6.487,1.628,6.536
"01-02-2012 0430",6.510,1.620,6.531
"01-02-2012 0436",6.520,1.629,6.526
"01-02-2012 0442",6.507,1.625,6.521
"01-02-2012 0448",6.533,1.625,6.516
"01-02-2012 0454",6.555,1.656,6.511
"01-02-2012 0500",6.554,1.637,6.506
"01-02-2012 0506",6.551,1.642,6.500
"01-02-2012 0512",6.525,1.627,6.495
"01-02-2012 0518",6.543,1.639,6.490
"01-02-2012 0524",6.554,1.640,6.484
"01-02-2012 0530",6.544,1.610,6.479
"01-02-2012 0536",6.528,1.603,6.474
"01-02-2012 0542",6.521,1.609,6.469
"01-02-2012 0548",6.498,1.592,6.463
"01-02-2012 0554",6.487,1.579,6.458
"01-02-2012 0600",6.456,1.544,6.453
"01-02-2012 0606",6.463,1.555,6.448
"01-02-2012 0612",6.457,1.564,6.443
"01-02-2012 0618",6.430,1.557,6.438
"01-02-2012 0624",6.432,1.514,6.433
"01-02-2012 0630",6.438,1.561,6.429
"01-02-2012 0636",6.432,1.514,6.424
"01-02-2012 0642",6.415,1.546,6.420
"01-02-2012 0648",6.410,1.514,6.415
"01-02-2012 0654",6.418,1.535,6.411
"01-02-2012 0700",6.396,1.519,6.407
"01-02-2012 0706",6.389,1.507,6.403
"01-02-2012 0712",6.373,1.492,6.398
"01-02-2012 0718",6.379,1.481,6.394
"01-02-2012 0724",6.362,1.478,6.391
"01-02-2012 0730",6.357,1.466,6.387
"01-02-2012 0736",6.351,1.447,6.383
"01-02-2012 0742",6.356,1.461,6.379
"01-02-2012 0748",6.369,1.461,6.376
"01-02-2012 0754",6.363,1.464,6.372
"01-02-2012 0800",6.364,1.480,6.369
"01-02-2012 0806",6.363,1.442,6.366
"01-02-2012 0812",6.353,1.467,6.362
"01-02-2012 0818",6.348,1.439,6.359
"01-02-2012 0824",6.335,1.436,6.356
"01-02-2012 0830",6.303,1.423,6.353
"01-02-2012 0836",6.318,1.429,6.350
"01-02-2012 0842",6.302,1.402,6.347
"01-02-2012 0848",6.295,1.379,6.345
"01-02-2012 0854",6.300,1.465,6.342
"01-02-2012 0900",6.297,1.384,6.340
"01-02-2012 0906",6.297,1.383,6.338
"01-02-2012 0912",6.314,1.402,6.336
"01-02-2012 0918",6.316,1.397,6.334
"01-02-2012 0924",6.308,1.383,6.332
"01-02-2012 0930",6.320,1.386,6.331
"01-02-2012 0936",6.340,1.393,6.329
"01-02-2012 0942",6.351,1.406,6.328
"01-02-2012 0948",6.344,1.429,6.328
"01-02-2012 0954",6.347,1.390,6.327
"01-02-2012 1000",6.356,1.413,6.326
"01-02-2012 1006",6.358,1.418,6.326
"01-02-2012 1012",6.385,1.413,6.326
"01-02-2012 1018",6.385,1.448,6.327
"01-02-2012 1024",6.396,1.424,6.327
"01-02-2012 1030",6.397,1.405,6.328
"01-02-2012 1036",6.397,1.387,6.329
"01-02-2012 1042",6.421,1.465,6.330
"01-02-2012 1048",6.412,1.468,6.331
"01-02-2012 1054",6.410,1.438,6.333
"01-02-2012 1100",6.399,1.427,6.335
"01-02-2012 1106",6.407,1.363,6.337
"01-02-2012 1112",6.429,1.425,6.340
"01-02-2012 1118",6.425,1.435,6.342
"01-02-2012 1124",6.428,1.465,6.345
"01-02-2012 1130",6.432,1.445,6.348
"01-02-2012 1136",6.417,1.434,6.351
"01-02-2012 1142",6.420,1.463,6.355
"01-02-2012 1148",6.411,1.455,6.358
"01-02-2012 1154",6.422,1.415,6.362
"01-02-2012 1200",6.418,1.414,6.366
"01-02-2012 1206",6.426,1.462,6.370
"01-02-2012 1212",6.394,1.414,6.375
"01-02-2012 1218",6.403,1.397,6.379
"01-02-2012 1224",6.408,1.361,6.384
"01-02-2012 1230",6.432,1.458,6.389
"01-02-2012 1236",6.410,1.401,6.394
"01-02-2012 1242",6.444,1.384,6.399
"01-02-2012 1248",6.440,1.454,6.404
"01-02-2012 1254",6.427,1.447,6.410
"01-02-2012 1300",6.415,1.360,6.415
"01-02-2012 1306",6.432,1.442,6.421
"01-02-2012 1312",6.423,1.386,6.426
"01-02-2012 1318",6.432,1.383,6.432
"01-02-2012 1324",6.449,1.404,6.438
"01-02-2012 1330",6.455,1.463,6.444
"01-02-2012 1336",6.502,1.409,6.449
"01-02-2012 1342",6.499,1.486,6.455
"01-02-2012 1348",6.511,1.495,6.461
"01-02-2012 1354",6.513,1.479,6.466
"01-02-2012 1400",6.506,1.464,6.472
"01-02-2012 1406",6.500,1.418,6.477
"01-02-2012 1412",6.536,1.480,6.483
"01-02-2012 1418",6.549,1.504,6.488
"01-02-2012 1424",6.547,1.486,6.494
"01-02-2012 1430",6.555,1.531,6.499
"01-02-2012 1436",6.546,1.477,6.504
"01-02-2012 1442",6.577,1.520,6.509
"01-02-2012 1448",6.598,1.528,6.514
"01-02-2012 1454",6.592,1.491,6.519
"01-02-2012 1500",6.599,1.513,6.523
"01-02-2012 1506",6.603,1.556,6.528
"01-02-2012 1512",6.616,1.566,6.532
"01-02-2012 1518",6.607,1.564,6.537
"01-02-2012 1524",6.619,1.559,6.541
"01-02-2012 1530",6.629,1.557,6.545
"01-02-2012 1536",6.630,1.593,6.549
"01-02-2012 1542",6.656,1.583,6.553
"01-02-2012 1548",6.652,1.561,6.556
"01-02-2012 1554",6.665,1.597,6.560
"01-02-2012 1600",6.679,1.615,6.563
"01-02-2012 1606",6.675,1.578,6.567
"01-02-2012 1612",6.678,1.605,6.570
"01-02-2012 1618",6.684,1.625,6.573
"01-02-2012 1624",6.694,1.614,6.576
"01-02-2012 1630",6.667,1.621,6.579
"01-02-2012 1636",6.686,1.561,6.581
"01-02-2012 1642",6.683,1.569,6.584
"01-02-2012 1648",6.679,1.598,6.587
"01-02-2012 1654",6.685,1.482,6.589
"01-02-2012 1700",6.681,1.562,6.591
"01-02-2012 1706",6.673,1.573,6.593
"01-02-2012 1712",6.693,1.613,6.595
"01-02-2012 1718",6.704,1.621,6.597
"01-02-2012 1724",6.703,1.598,6.599
"01-02-2012 1730",6.689,1.630,6.601
"01-02-2012 1736",6.682,1.559,6.603
"01-02-2012 1742",6.695,1.609,6.604
"01-02-2012 1748",6.679,1.611,6.606
"01-02-2012 1754",6.691,1.561,6.607
"01-02-2012 1800",6.708,1.582,6.609
"01-02-2012 1806",6.688,1.545,6.610
"01-02-2012 1812",6.687,1.571,6.611
"01-02-2012 1818",6.679,1.588,6.612
"01-02-2012 1824",6.679,1.622,6.614
"01-02-2012 1830",6.677,1.572,6.615
"01-02-2012 1836",6.678,1.575,6.616
"01-02-2012 1842",6.672,1.615,6.617
"01-02-2012 1848",6.648,1.539,6.618
"01-02-2012 1854",6.646,1.573,6.620
"01-02-2012 1900",6.665,1.600,6.621
"01-02-2012 1906",6.663,1.586,6.622
"01-02-2012 1912",6.668,1.523,6.623
"01-02-2012 1918",6.658,1.551,6.624
"01-02-2012 1924",6.679,1.605,6.625
"01-02-2012 1930",6.675,1.623,6.626
"01-02-2012 1936",6.683,1.563,6.626
"01-02-2012 1942",6.657,1.568,6.627
"01-02-2012 1948",6.672,1.619,6.628
"01-02-2012 1954",6.673,1.615,6.628
"01-02-2012 2000",6.672,1.572,6.629
"01-02-2012 2006",6.671,1.605,6.629
"01-02-2012 2012",6.653,1.583,6.630
"01-02-2012 2018",6.659,1.593,6.630
"01-02-2012 2024",6.663,1.598,6.630
"01-02-2012 2030",6.677,1.664,6.630
"01-02-2012 2036",6.675,1.616,6.630
"01-02-2012 2042",6.634,1.597,6.630
"01-02-2012 2048",6.662,1.600,6.630
"01-02-2012 2054",6.642,1.579,6.630
"01-02-2012 2100",6.660,1.589,6.630
